episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/policy_reward_min/policy_0,evaluation/policy_reward_min/policy_1,evaluation/policy_reward_min/policy_2,evaluation/policy_reward_max/policy_0,evaluation/policy_reward_max/policy_1,evaluation/policy_reward_max/policy_2,evaluation/policy_reward_mean/policy_0,evaluation/policy_reward_mean/policy_1,evaluation/policy_reward_mean/policy_2,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-5.726947789080448,-123.74201880022883,-96.72722666661598,89.63157894736842,19,2560,False,4115200,50733,1723,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-02-52,1589774572,1.908973217010498,3002.628322124481,6815,gammaumd5,129.2.189.147,3002.628322124481,4115200,1723,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3215,1645568,4115200,639.969,133.566,35.115,82.71,14580.464,512.0,16.15,53.9,0.0,0.0,0.02,0.055086668481713404,-92.82356338505633,-92.82356338505633,-92.82356338505633,165.0,1,-100.26008911601578,3.3854368300332354,4.05108890092621,-100.26008911601578,3.3854368300332354,4.05108890092621,-100.26008911601578,3.3854368300332354,4.05108890092621,16.23958803380514,2.12503466876921,8.542011355526101
14.181635330198333,-121.14282085350712,-91.94069324903346,102.88888888888889,36,2560,False,4117760,50769,1724,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-02-54,1589774574,1.7643382549285889,3004.39266037941,6815,gammaumd5,129.2.189.147,3004.39266037941,4117760,1724,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3217,1646592,4117760,635.795,132.597,34.93,82.315,14657.991,512.0,13.7,53.9,0.0,0.0,0.01,0.055086668481713404,-1.087920347155901,-1.087920347155901,-1.087920347155901,200.0,1,0.25554451850378257,-1.2874015061340032,-0.05606335952568031,0.25554451850378257,-1.2874015061340032,-0.05606335952568031,0.25554451850378257,-1.2874015061340032,-0.05606335952568031,16.23740164439607,2.1239496525615635,8.54144638622041
-7.860381778096794,-119.4296402418986,-98.80741348401422,82.04761904761905,21,2560,False,4120320,50790,1725,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-02-58,1589774578,1.760427713394165,3006.153088092804,6815,gammaumd5,129.2.189.147,3006.153088092804,4120320,1725,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3219,1647616,4120320,629.039,133.112,35.599,81.94,14382.323,512.0,13.8,53.9,0.0,0.0,0.0275,0.055086668481713404,-92.84533214941622,-92.84533214941622,-92.84533214941622,175.0,1,-101.76131814198258,4.116198809895039,4.799787182671324,-101.76131814198258,4.116198809895039,4.799787182671324,-101.76131814198258,4.116198809895039,4.799787182671324,16.236703584314117,2.1237227379500374,8.540855041357467
-7.770302027696758,-227.40037092543207,-102.521526594623,104.43333333333334,30,2560,False,4122880,50820,1726,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-00,1589774580,1.912799596786499,3008.0658876895905,6815,gammaumd5,129.2.189.147,3008.0658876895905,4122880,1726,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3221,1648640,4122880,631.452,127.222,39.874,73.0,12840.453,512.0,16.225,53.9,0.0,0.0,0.015000000000000001,0.055086668481713404,-5.128358762012809,-5.128358762012809,-5.128358762012809,200.0,1,-2.614670647696286,-1.3501887213594017,-1.163499392957121,-2.614670647696286,-1.3501887213594017,-1.163499392957121,-2.614670647696286,-1.3501887213594017,-1.163499392957121,16.23685174237483,2.1238884828917994,8.540553912411315
-5.8956039496697485,-121.95913732331246,-90.3613733988525,96.63636363636364,22,2560,False,4125440,50842,1727,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-03,1589774583,1.798323631286621,3009.864211320877,6815,gammaumd5,129.2.189.147,3009.864211320877,4125440,1727,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3223,1649664,4125440,642.181,126.664,38.556,73.264,13279.508,512.0,14.399999999999999,53.9,0.0,0.0,0.01,0.055086668481713404,-97.03770559490658,-106.37982862605713,-101.70876711048186,155.0,2,-104.29941386085315,-0.13431677579259116,-1.946097989411406,-103.1429860224016,3.255729735130444,2.8495506923645735,-103.72119994162738,1.5607064796689265,0.4517263514765837,16.23555878242886,2.1236625483728924,8.53966220729163
5.51657675858587,-209.89147760602646,-99.66836536741903,96.75,24,2560,False,4128000,50866,1728,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-06,1589774586,1.8378174304962158,3011.7020287513733,6815,gammaumd5,129.2.189.147,3011.7020287513733,4128000,1728,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3225,1650688,4128000,641.809,127.867,37.586,71.635,13622.155,512.0,15.975000000000001,53.9,0.0,0.0,0.01,0.055086668481713404,-97.7772868301254,-97.7772868301254,-97.7772868301254,184.0,1,-103.13673821099414,2.8085763083460407,2.5508750725227074,-103.13673821099414,2.8085763083460407,2.5508750725227074,-103.13673821099414,2.8085763083460407,2.5508750725227074,16.23594070560407,2.123824187880912,8.53953885396206
4.104049452347681,-126.41448131832294,-82.99514025988475,110.34482758620689,29,2560,False,4130560,50895,1729,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-08,1589774588,1.9478964805603027,3013.6499252319336,6815,gammaumd5,129.2.189.147,3013.6499252319336,4130560,1729,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3227,1651712,4130560,639.8,135.847,41.269,79.338,12406.481,512.0,15.9,53.93333333333334,0.0,0.0,0.013333333333333334,0.055086668481713404,-107.38826096430422,-110.49782837973908,-108.94304467202164,138.0,2,-105.49292073080626,-2.3877249689151867,-2.6171826800176277,-104.38404721176873,-1.5016909895154384,-1.5025227630200533,-104.9384839712875,-1.9447079792153126,-2.0598527215188405,16.23469511299807,2.1236283801986917,8.539772881358607
-0.7940733057912581,-201.36672040331177,-106.47592853603973,88.57142857142857,21,2560,False,4133120,50916,1730,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-11,1589774591,1.7648663520812988,3015.414791584015,6815,gammaumd5,129.2.189.147,3015.414791584015,4133120,1730,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3229,1652736,4133120,642.555,135.269,40.337,78.678,12692.929,512.0,13.866666666666665,53.9,0.0,0.0,0.016666666666666666,0.055086668481713404,-106.64046088419852,-109.16885721427391,-107.90465904923622,102.0,2,-104.93158510094509,-105.39667157821049,-1.8395758351932017,-1.9326098008702246,-0.9063348351046443,-0.8025409481488168,-53.432097450907655,-53.151503206657566,-1.3210583916710092,16.235107789967415,2.123150300704886,8.540887898186972
-1.009975674096495,-206.8097751569003,-89.69715759333533,111.83333333333333,30,2560,False,4135680,50946,1731,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-14,1589774594,1.770474910736084,3017.185266494751,6815,gammaumd5,129.2.189.147,3017.185266494751,4135680,1731,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3231,1653760,4135680,641.172,131.25,34.501,80.893,14840.055,512.0,11.850000000000001,53.925,0.0,0.0,0.017499999999999998,0.055086668481713404,-110.54000960872509,-110.83859886857681,-110.68930423865095,115.5,2,-105.9652577987872,-105.4826413129922,-3.4610378299839795,-1.89491972560063,-1.9293896814342588,-2.6453621285036206,-53.93008876219392,-53.70601549721323,-3.0531999792438,16.232171726144696,2.1222595365326096,8.539887933622603
6.594277569325641,-122.87114680884406,-100.94135368817453,85.60714285714286,28,2560,False,4138240,50974,1732,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-17,1589774597,1.8365302085876465,3019.0217967033386,6815,gammaumd5,129.2.189.147,3019.0217967033386,4138240,1732,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3233,1654784,4138240,640.972,133.001,35.679,81.64,14350.185,512.0,14.200000000000001,53.95,0.0,0.0,0.017499999999999998,0.055086668481713404,-100.39411693089642,-108.7341784958262,-104.56414771336131,103.0,2,-1.432602968377374,-106.16411740262993,-2.329479703291632,3.771760090487078,-104.97209582415721,1.9982403812464327,1.169578561054852,-105.56810661339357,-0.16561966102259973,16.231808760468756,2.1222052512387886,8.540471472249038
2.453886721283183,-216.0600598391611,-101.15730059745077,91.61538461538461,26,2560,False,4140800,51000,1733,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-20,1589774600,1.9875702857971191,3021.0093669891357,6815,gammaumd5,129.2.189.147,3021.0093669891357,4140800,1733,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3235,1655808,4140800,640.564,140.385,36.521,90.645,14019.256,512.0,15.2,54.0,0.0,0.0,0.015000000000000001,0.055086668481713404,-6.556937152752653,-6.556937152752653,-6.556937152752653,200.0,1,-2.213583246571943,-2.2635030003730208,-2.079850905807689,-2.213583246571943,-2.2635030003730208,-2.079850905807689,-2.213583246571943,-2.2635030003730208,-2.079850905807689,16.23024511378292,2.1232910237410096,8.539005816535937
-0.8085449901409447,-219.4997363493312,-92.43939056186005,107.04,25,2560,False,4143360,51025,1734,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-23,1589774603,1.8450555801391602,3022.854422569275,6815,gammaumd5,129.2.189.147,3022.854422569275,4143360,1734,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3237,1656832,4143360,646.842,132.246,31.624,87.73,16190.244,512.0,15.200000000000001,54.0,0.0,0.0,0.016666666666666666,0.055086668481713404,-128.09468251955695,-128.09468251955695,-128.09468251955695,179.0,1,-111.03231925191358,-8.394159906543791,-8.668203361099586,-111.03231925191358,-8.394159906543791,-8.668203361099586,-111.03231925191358,-8.394159906543791,-8.668203361099586,16.23005274788094,2.124947620760921,8.538619594149313
-12.875590298557668,-220.41725002694875,-116.66552499099635,87.08333333333333,24,2560,False,4145920,51049,1735,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-25,1589774605,1.8848865032196045,3024.7393090724945,6815,gammaumd5,129.2.189.147,3024.7393090724945,4145920,1735,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3239,1657856,4145920,655.748,132.541,31.99,89.83,16004.952,512.0,14.933333333333332,54.0,0.0,0.0,0.013333333333333334,0.055086668481713404,-89.1775390303228,-89.1775390303228,-89.1775390303228,179.0,1,-97.22845083009452,2.773559092078358,5.277352707693353,-97.22845083009452,2.773559092078358,5.277352707693353,-97.22845083009452,2.773559092078358,5.277352707693353,16.229917946878448,2.12510187352633,8.538330541434403
-3.5256290344987065,-212.32174230506644,-97.2556536049009,102.42307692307692,26,2560,False,4148480,51075,1736,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-28,1589774608,1.939666748046875,3026.6789758205414,6815,gammaumd5,129.2.189.147,3026.6789758205414,4148480,1736,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3241,1658880,4148480,657.504,141.265,33.355,94.503,15350.067,512.0,16.133333333333333,54.0,0.0,0.0,0.013333333333333334,0.055086668481713404,-112.17426767107102,-117.30357486754656,-114.73892126930879,142.5,2,-106.10587262276871,-107.70943923853338,-5.765239872271195,-3.8288957567419857,-2.352645612166576,-3.7157494361357166,-54.96738418975535,-55.03104242534998,-4.740494654203456,16.229119121601265,2.124704764626055,8.538238405278664
10.811546959448592,-201.03894518991,-95.95935870111134,98.75,32,2560,False,4151040,51107,1737,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-31,1589774611,1.800290584564209,3028.4792664051056,6815,gammaumd5,129.2.189.147,3028.4792664051056,4151040,1737,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3243,1659904,4151040,657.974,138.868,33.091,93.297,15472.453,512.0,11.433333333333332,54.0,0.0,0.0,0.016666666666666666,0.055086668481713404,-109.75772180594504,-111.31944086309522,-110.53858133452013,116.5,2,-2.263265610750146,-106.19259959443782,-2.86985663425488,-1.4820060688847079,-105.40585910280545,-2.863575657907255,-1.872635839817427,-105.79922934862164,-2.8667161460810675,16.2281624807192,2.124680218635406,8.537341641104288
1.017995721893385,-214.07952656503764,-90.64212266785326,114.85,20,2560,False,4153600,51127,1738,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-34,1589774614,1.9307892322540283,3030.4100556373596,6815,gammaumd5,129.2.189.147,3030.4100556373596,4153600,1738,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3245,1660928,4153600,655.296,140.288,33.328,88.413,15362.366,512.0,16.45,54.0,0.0,0.0,0.01,0.055086668481713404,-12.28298811567948,-12.28298811567948,-12.28298811567948,200.0,1,-3.2690676700634285,-4.591055806105338,-4.422864639510713,-3.2690676700634285,-4.591055806105338,-4.422864639510713,-3.2690676700634285,-4.591055806105338,-4.422864639510713,16.226832565017276,2.1224670902946747,8.5380541771954
-0.5740896880161088,-218.62506709015,-109.34523263231249,90.91176470588235,34,2560,False,4156160,51161,1739,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-38,1589774618,1.7865979671478271,3032.1966536045074,6815,gammaumd5,129.2.189.147,3032.1966536045074,4156160,1739,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3247,1661952,4156160,648.539,141.524,34.638,86.565,14781.474,512.0,10.76,54.0,0.0,0.0,0.022,0.05508666848171341,-11.349260479444652,-128.57285437337129,-69.96105742640796,169.5,2,-111.2101274811818,-8.659933509926006,-8.702793382263437,-2.8601180523789225,-4.072059089705974,-4.417083337359756,-57.03512276678036,-6.36599629981599,-6.559938359811596,16.22754173975875,2.1225226736075173,8.53835095109089
-6.928160127485171,-222.3784189594444,-110.76877270045782,93.38095238095238,21,2560,False,4158720,51182,1740,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-41,1589774621,1.934633731842041,3034.1312873363495,6815,gammaumd5,129.2.189.147,3034.1312873363495,4158720,1740,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3249,1662976,4158720,639.091,148.999,34.381,91.417,14892.067,512.0,14.95,54.0,0.0,0.0,0.0125,0.055086668481713404,-28.042887692106888,-28.042887692106888,-28.042887692106888,200.0,1,-8.311537875793874,-9.773140858393162,-9.958208957919851,-8.311537875793874,-9.773140858393162,-9.958208957919851,-8.311537875793874,-9.773140858393162,-9.958208957919851,16.226922620448004,2.122488260505457,8.537912709249635
3.107759157894165,-193.79068985371853,-95.82944212601676,94.13333333333334,30,2560,False,4161280,51212,1741,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-44,1589774624,1.801924705505371,3035.933212041855,6815,gammaumd5,129.2.189.147,3035.933212041855,4161280,1741,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3251,1664000,4161280,640.374,140.272,34.104,85.74,15012.78,512.0,12.299999999999999,53.93333333333334,0.0,0.0,0.01,0.055086668481713404,-26.406949890311807,-26.406949890311807,-26.406949890311807,200.0,1,-7.7391321181785315,-9.214422976830974,-9.453394795302302,-7.7391321181785315,-9.214422976830974,-9.453394795302302,-7.7391321181785315,-9.214422976830974,-9.453394795302302,16.227648819971126,2.123231356447116,8.537844169097443
-5.018853642279282,-122.25653861626054,-95.65314789428588,87.45454545454545,22,2560,False,4163840,51234,1742,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-46,1589774626,1.7966361045837402,3037.7298481464386,6815,gammaumd5,129.2.189.147,3037.7298481464386,4163840,1742,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3253,1665024,4163840,639.854,141.137,33.658,86.349,15211.975,512.0,17.099999999999998,53.9,0.0,0.0,0.013333333333333334,0.055086668481713404,-16.36370984022507,-16.36370984022507,-16.36370984022507,200.0,1,-4.357778480431691,-5.949322679468125,-6.056608680325255,-4.357778480431691,-5.949322679468125,-6.056608680325255,-4.357778480431691,-5.949322679468125,-6.056608680325255,16.226185849464155,2.1225638606126713,8.537771120332803
1.907084389356882,-119.82265692600052,-82.99986722367898,115.82608695652173,23,2560,False,4166400,51257,1743,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-49,1589774629,1.9427387714385986,3039.672586917877,6815,gammaumd5,129.2.189.147,3039.672586917877,4166400,1743,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3255,1666048,4166400,642.829,139.467,33.526,86.649,15271.788,512.0,14.85,53.9,0.0,0.0,0.02,0.055086668481713404,-20.57121262280271,-20.57121262280271,-20.57121262280271,200.0,1,-6.242197447301201,-6.33746980953341,-7.991545365968101,-6.242197447301201,-6.33746980953341,-7.991545365968101,-6.242197447301201,-6.33746980953341,-7.991545365968101,16.226063118382612,2.1226010074110833,8.537607979568499
-12.021175127010792,-194.15155427262653,-98.68817940026305,99.85714285714286,28,2560,False,4168960,51285,1744,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-52,1589774632,1.9755592346191406,3041.6481461524963,6815,gammaumd5,129.2.189.147,3041.6481461524963,4168960,1744,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3257,1667072,4168960,649.693,147.38,33.708,85.788,15189.401,512.0,16.0,53.9,0.0,0.0,0.01,0.055086668481713404,-5.95760033000262,-108.10093366657384,-57.02926699828823,141.0,2,-1.4691404466672537,-107.0798278064467,-2.906588341575116,1.8854824814479798,-2.0156744533839372,-2.472785429951429,0.20817101739036303,-54.54775112991532,-2.6896868857632725,16.22536426162754,2.122650727946023,8.537098352494707
-15.276139664230868,-199.81196077517234,-106.60457448942515,81.6923076923077,26,2560,False,4171520,51311,1745,a3fa3020b4524ce1b43dfee97529463a,2020-05-18_04-03-54,1589774634,1.862516164779663,3043.510662317276,6815,gammaumd5,129.2.189.147,3043.510662317276,4171520,1745,8,6fe0ebb0,0,0.020000000000000018,0.020000000000000018,3259,1668096,4171520,657.343,139.383,33.888,78.575,15108.643,512.0,15.200000000000001,53.9,0.0,0.0,0.016666666666666666,0.055086668481713404,-103.47185488161631,-108.56392452167347,-106.01788970164489,121.5,2,-105.70716809760779,-0.19268869352526963,-2.6640677305404097,-104.47148304106668,0.824101556558162,0.17552660289220512,-105.08932556933723,0.3157064315164462,-1.2442705638241023,16.22612776481277,2.1221489775501947,8.53784035735366
