episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var
18.53000000000005,-6.0,-0.6434000000000002,501.0,0,14080,False,286720,512,21,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-31-03,1580859063,10.630410194396973,225.02530360221863,29241,gammaumd5,10.70.51.83,225.02530360221863,286720,21,8,deeb1dbc,0,286720,286720,946.447,11.279,8.565,113482.491,1352.426,1280.0,41.8,48.39999999999999,0.0,0.013525780682643427,0.055714285714285716,0.07133133678192215,0.0006904575857333839,nan,nan,nan,nan,nan,-1.0
18.53000000000005,-6.0,-0.8302999999999997,501.0,64,12800,False,299520,576,22,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-31-13,1580859073,10.067128658294678,235.0924322605133,29241,gammaumd5,10.70.51.83,235.0924322605133,299520,22,8,deeb1dbc,0,299520,299520,982.811,12.608,9.077,101522.622,1302.387,1280.0,40.55384615384616,48.46153846153846,0.0,0.013525780682643427,0.061538461538461535,0.07133133678192215,0.0006899647996760905,nan,nan,nan,nan,nan,-1.0
18.53000000000005,-6.0,-0.8302999999999998,501.0,0,14080,False,313600,576,23,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-31-24,1580859084,10.612465620040894,245.7048978805542,29241,gammaumd5,10.70.51.83,245.7048978805542,313600,23,8,deeb1dbc,0,313600,313600,942.947,12.765,9.494,100271.922,1357.446,1280.0,40.442857142857136,48.5,0.0,0.013525780682643427,0.05928571428571428,0.07133133678192215,0.0006895167753100395,nan,nan,nan,nan,nan,-1.0
39.05,-5.53000000000001,-0.5909000000000001,501.0,64,14080,False,327680,640,24,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-31-35,1580859095,10.975758075714111,256.6806559562683,29241,gammaumd5,10.70.51.83,256.6806559562683,327680,24,8,deeb1dbc,0,327680,327680,975.195,12.195,9.367,104964.82,1312.558,1280.0,41.08000000000001,48.5,0.0,0.013525780682643427,0.05466666666666667,0.07133133678192215,0.0006890239892527461,nan,nan,nan,nan,nan,-1.0
39.05,-5.53000000000001,-0.5909000000000002,501.0,0,14080,False,341760,640,25,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-31-46,1580859106,10.865875959396362,267.5465319156647,29241,gammaumd5,10.70.51.83,267.5465319156647,341760,25,8,deeb1dbc,0,341760,341760,955.129,15.182,9.624,84312.12,1340.133,1280.0,40.32142857142856,48.535714285714285,0.0,0.013525780682643427,0.05214285714285714,0.07133133678192215,0.0006885312031954527,nan,nan,nan,nan,nan,-1.0
19.060000000000002,-5.0,-0.13099999999999987,501.0,64,14080,False,355840,704,26,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-31-56,1580859116,10.514237403869629,278.0607693195343,29241,gammaumd5,10.70.51.83,278.0607693195343,355840,26,8,deeb1dbc,0,355840,355840,926.072,12.221,8.549,104741.403,1382.182,1280.0,40.98571428571428,48.60000000000001,0.0,0.013525780682643427,0.04928571428571428,0.07133133678192215,0.0006880384171381593,nan,nan,nan,nan,nan,-1.0
19.060000000000002,-5.0,-0.13099999999999987,501.0,0,14080,False,369920,704,27,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-32-07,1580859127,10.849027872085571,288.9097971916199,29241,gammaumd5,10.70.51.83,288.9097971916199,369920,27,8,deeb1dbc,0,369920,369920,958.18,12.265,10.024,104358.432,1335.865,1280.0,41.71428571428572,48.6857142857143,0.0007142857142857143,0.013525780682643427,0.050714285714285705,0.07133133678192215,0.000687545572873205,nan,nan,nan,nan,nan,-1.0
19.060000000000002,-5.0,-0.13099999999999987,501.0,0,14080,False,384000,704,28,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-32-18,1580859138,10.723705768585205,299.6335029602051,29241,gammaumd5,10.70.51.83,299.6335029602051,384000,28,8,deeb1dbc,0,384000,384000,957.729,12.116,8.829,105644.57,1336.496,1280.0,41.792857142857144,48.70000000000001,0.0,0.013525780682643427,0.05214285714285715,0.07133133678192215,0.0006870527868159115,nan,nan,nan,nan,nan,-1.0
19.07,-4.750000000000002,-0.6592000000000011,501.0,64,12800,False,396800,768,29,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-32-28,1580859148,10.027090311050415,309.6605932712555,29241,gammaumd5,10.70.51.83,309.6605932712555,396800,29,8,deeb1dbc,0,396800,396800,974.604,14.731,11.653,86892.844,1313.354,1280.0,42.06923076923078,48.79999999999999,0.0,0.013525780682643427,0.054615384615384614,0.07133133678192215,0.0006865600007586181,nan,nan,nan,nan,nan,-1.0
19.07,-4.750000000000002,-0.6592000000000011,501.0,0,14080,False,410880,768,30,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-32-39,1580859159,10.856152057647705,320.5167453289032,29241,gammaumd5,10.70.51.83,320.5167453289032,410880,30,8,deeb1dbc,0,410880,410880,970.265,11.738,9.429,109048.735,1319.227,1280.0,41.6857142857143,48.79999999999999,0.0,0.013525780682643427,0.056428571428571425,0.07133133678192215,0.0006861119763925672,nan,nan,nan,nan,nan,-1.0
