episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/policy_reward_min/policy_0,evaluation/policy_reward_max/policy_0,evaluation/policy_reward_mean/policy_0,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,26880,128,21,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-14,1580920214,1.3540449142456055,27.11135172843933,17490,gammaumd8,10.70.51.95,27.11135172843933,26880,21,8,a3317624,0,0.020000000000000018,0.020000000000000018,21,10240,26880,1152.725,49.542,27.966,31.722,18307.837,512.0,24.7,45.3,0.0,0.010353283080555808,0.005,0.057446229240402935,0.4598761254249613,0.4598761254249613,0.4598761254249613,200.0,1,-3.547613906107472e-05,0.24994829534315963,0.09197522508499223,25.750136811800687,1.7253721811608744,4.025453735707009
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,28160,128,22,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-15,1580920215,1.4443752765655518,28.555727005004883,17490,gammaumd8,10.70.51.95,28.555727005004883,28160,22,8,a3317624,0,0.020000000000000018,0.020000000000000018,22,10752,28160,1178.395,54.982,24.383,31.074,20998.527,512.0,43.0,46.95,0.0,0.010353283080555808,0.015,0.06316362646338143,20.43987676284194,20.43987676284194,20.43987676284194,200.0,1,-2.0402166910571395e-05,10.189989125507696,4.087975352568387,25.750136811800687,1.7253721811608744,4.025453735707009
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,29440,128,23,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-17,1580920217,1.4459490776062012,30.001676082611084,17490,gammaumd8,10.70.51.95,30.001676082611084,29440,23,8,a3317624,0,0.020000000000000018,0.020000000000000018,23,11264,29440,1196.328,63.726,24.833,30.703,20617.776,512.0,47.85,49.2,0.0,0.010353283080555808,0.0,0.06316362646338143,28.02987509659414,28.02987509659414,28.02987509659414,200.0,1,-1.0000223711538148,10.009964601353085,5.605975019318834,25.750136811800687,1.7253721811608744,4.025453735707009
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,30720,128,24,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-19,1580920219,1.4696121215820312,31.471288204193115,17490,gammaumd8,10.70.51.95,31.471288204193115,30720,24,8,a3317624,0,0.020000000000000018,0.020000000000000018,24,11776,30720,1222.781,71.248,24.89,29.604,20570.634,512.0,48.65,49.95,0.0,0.010353283080555808,0.0,0.06316362646338143,-2.2982945978800018e-05,-2.2982945978800018e-05,-2.2982945978800018e-05,200.0,1,-8.618210575406238e-06,-1.5846247864992336e-06,-4.596589195760004e-06,27.89490975988343,1.8582775649357675,3.9781077524249473
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,32000,128,25,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-28,1580920228,1.4500646591186523,32.92135286331177,17490,gammaumd8,10.70.51.95,32.92135286331177,32000,25,8,a3317624,0,0.020000000000000018,0.020000000000000018,25,12288,32000,1243.5,72.278,25.199,30.723,20318.279,512.0,30.825,51.64166666666666,0.0,0.010353283080555806,0.010833333333333334,0.06588619656956167,-1.0000233283079027,-1.0000233283079027,-1.0000233283079027,200.0,1,-1.0000045995596607,-1.3883240170819988e-06,-0.20000466566158054,27.89490975988343,1.8582775649357675,3.9781077524249473
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,33280,128,26,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-30,1580920230,1.4116041660308838,34.33295702934265,17490,gammaumd8,10.70.51.95,34.33295702934265,33280,26,8,a3317624,0,0.020000000000000018,0.020000000000000018,26,12800,33280,1263.999,75.193,25.149,28.736,20358.865,512.0,42.05,52.75,0.0,0.010353283080555808,0.005,0.07133133678192213,-1.5900269968575742,-1.5900269968575742,-1.5900269968575742,200.0,1,-1.0000064139276699,0.2799978611143093,-0.31800539937151484,27.89490975988343,1.8582775649357675,3.9781077524249473
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,34560,128,27,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-31,1580920231,1.349407434463501,35.68236446380615,17490,gammaumd8,10.70.51.95,35.68236446380615,34560,27,8,a3317624,0,0.020000000000000018,0.020000000000000018,27,13312,34560,1275.713,75.852,25.051,28.375,20438.249,512.0,44.45,52.849999999999994,0.0,0.010353283080555808,0.005,0.07133133678192213,-2.2883774873250218e-05,-2.2883774873250218e-05,-2.2883774873250218e-05,200.0,1,-8.414048076943459e-06,-1.4748447725310143e-06,-4.576754974650044e-06,27.89490975988343,1.8582775649357675,3.9781077524249473
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,35840,128,28,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-33,1580920233,1.4460835456848145,37.12844800949097,17490,gammaumd8,10.70.51.95,37.12844800949097,35840,28,8,a3317624,0,0.020000000000000018,0.020000000000000018,28,13824,35840,1239.581,76.419,22.047,27.738,23223.446,512.0,43.25,52.95,0.0,0.010353283080555808,0.01,0.07133133678192213,-3.0000231401586954,-3.0000231401586954,-3.0000231401586954,200.0,1,-2.000004601095451,-1.4006699800006572e-06,-0.6000046280317389,27.89490975988343,1.8582775649357675,3.9781077524249473
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,37120,128,29,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-35,1580920235,1.467238187789917,38.595686197280884,17490,gammaumd8,10.70.51.95,38.595686197280884,37120,29,8,a3317624,0,0.020000000000000018,0.020000000000000018,29,14336,37120,1259.437,77.602,21.611,29.132,23691.77,512.0,44.75,52.95,0.0,0.010353283080555808,0.0,0.07133133678192213,20.029978696743452,20.029978696743452,20.029978696743452,200.0,1,-7.851491833577029e-06,10.01999760364825,4.005995739348664,27.89490975988343,1.8582775649357675,3.9781077524249473
31.084981466469326,-11.925108168776001,-3.0983933063686795,200.0,64,1280,False,38400,192,30,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-36,1580920236,1.4253613948822021,40.021047592163086,17490,gammaumd8,10.70.51.95,40.021047592163086,38400,30,8,a3317624,0,0.020000000000000018,0.020000000000000018,30,14848,38400,1272.077,79.05,21.602,28.494,23701.837,512.0,43.05,52.95,0.0,0.010353283080555808,0.005,0.07133133678192213,-1.9000257324207201,-1.9000257324207201,-1.9000257324207201,200.0,1,-1.9000077384151388,-2.127959106923427e-06,-0.380005146484144,27.89490975988343,1.8582775649357675,3.9781077524249473
