episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff
35.36878093587502,-19.908481513415328,-4.92555232605282,501.0,64,6400,False,134400,256,21,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-39-07,1580870347,10.654524087905884,230.65744137763977,8191,gammaumd8,10.70.51.95,230.65744137763977,134400,21,8,1eaf7424,0,672000,134400,5053.936,81.767,5725.385,8.283,45.57142857142858,51.94285714285716,0.0,0.010353283080555806,0.06285714285714285,0.08149559851166167,4.76837158203125e-07,4.999999873689376e-05,259.65244,0.0008061202,259.68262,0.021570928,0.0021785577,3.1006994,0.009999999776482582
35.36878093587502,-19.908481513415328,-4.92555232605282,501.0,0,6400,False,140800,256,22,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-39-17,1580870357,10.659813165664673,241.31725454330444,8191,gammaumd8,10.70.51.95,241.31725454330444,140800,22,8,1eaf7424,0,704000,140800,5030.598,85.706,5708.527,8.098,45.60000000000001,52.04285714285713,0.0,0.010353283080555806,0.06142857142857142,0.08149559851166167,2.384185791015625e-07,4.999999873689376e-05,2.111394,0.0010129779,2.141399,0.10748602,0.0015556065,3.1017854,0.009999999776482582
35.36878093587502,-19.908481513415328,-4.92555232605282,501.0,0,6400,False,147200,256,23,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-39-28,1580870368,10.714090585708618,252.03134512901306,8191,gammaumd8,10.70.51.95,252.03134512901306,147200,23,8,1eaf7424,0,736000,147200,5002.512,85.377,5728.303,8.018,45.557142857142864,52.12142857142857,0.0,0.010353283080555806,0.05214285714285714,0.08149559851166167,1.1920928955078125e-07,4.999999873689376e-05,2.0479681,0.0009368316,2.0779734,0.19651449,0.0015435948,3.0942206,0.009999999776482582
35.36878093587502,-19.908481513415328,-4.92555232605282,501.0,0,6400,False,153600,256,24,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-39-39,1580870379,10.897695779800415,262.9290409088135,8191,gammaumd8,10.70.51.95,262.9290409088135,153600,24,8,1eaf7424,0,768000,153600,5000.745,87.467,5717.755,8.003,45.68571428571429,52.12857142857142,0.0,0.010353283080555806,0.05714285714285714,0.08149559851166167,5.960464477539063e-08,4.999999873689376e-05,1.8071138,0.0006694321,1.8379525,0.20125107,0.0016831494,3.1508255,0.009999999776482582
35.36878093587502,-19.908481513415328,-4.92555232605282,501.0,0,6400,False,160000,256,25,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-39-50,1580870390,10.778086185455322,273.7071270942688,8191,gammaumd8,10.70.51.95,273.7071270942688,160000,25,8,1eaf7424,0,800000,160000,4975.27,86.643,5708.922,8.34,46.271428571428565,52.25714285714287,0.0,0.010353283080555806,0.05928571428571428,0.08149559851166167,2.9802322387695312e-08,4.999999873689376e-05,1.7863879,0.00054236746,1.8178991,0.22840144,0.0016895444,3.2053635,0.009999999776482582
35.36878093587502,-23.834079032897204,-3.7843656374148664,501.0,64,6400,False,166400,320,26,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-40-01,1580870401,10.992522478103638,284.69964957237244,8191,gammaumd8,10.70.51.95,284.69964957237244,166400,26,8,1eaf7424,0,832000,166400,4983.798,88.712,5687.485,8.108,45.88571428571428,52.357142857142875,0.0,0.010353283080555806,0.05071428571428571,0.08149559851166167,1.4901161193847656e-08,4.999999873689376e-05,312.71838,0.0005064015,312.7499,0.025491385,0.0014780287,3.2049456,0.009999999776482582
35.36878093587502,-23.834079032897204,-3.7843656374148664,501.0,0,6400,False,172800,320,27,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-40-12,1580870412,11.0731041431427,295.77275371551514,8191,gammaumd8,10.70.51.95,295.77275371551514,172800,27,8,1eaf7424,0,864000,172800,4993.172,89.96,5698.952,8.425,45.36,52.62000000000001,0.0,0.010353283080555806,0.056666666666666664,0.08149559851166167,7.450580596923828e-09,4.999999873689376e-05,2.1579108,0.0010319086,2.1885052,0.114094496,0.0019424937,3.1626184,0.009999999776482582
35.36878093587502,-23.834079032897204,-3.7843656374148664,501.0,0,6400,False,179200,320,28,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-40-23,1580870423,10.816053867340088,306.5888075828552,8191,gammaumd8,10.70.51.95,306.5888075828552,179200,28,8,1eaf7424,0,896000,179200,4974.417,90.483,5686.298,8.579,45.8,52.47142857142859,0.0,0.010353283080555806,0.05928571428571429,0.08149559851166167,3.725290298461914e-09,4.999999873689376e-05,1.9332532,0.0011318082,1.9635918,0.19871062,0.0015994095,3.147029,0.009999999776482582
35.36878093587502,-23.834079032897204,-3.7843656374148664,501.0,0,6400,False,185600,320,29,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-40-34,1580870434,10.946050643920898,317.5348582267761,8191,gammaumd8,10.70.51.95,317.5348582267761,185600,29,8,1eaf7424,0,928000,185600,4982.205,90.435,5691.511,8.555,45.48571428571429,52.52142857142856,0.0,0.010353283080555806,0.052857142857142846,0.08149559851166167,1.862645149230957e-09,4.999999873689376e-05,1.8492687,0.0007228736,1.8799295,0.22902115,0.0016211553,3.1383808,0.009999999776482582
35.36878093587502,-23.834079032897204,-3.7843656374148664,501.0,0,6400,False,192000,320,30,1152b700d8ca44d2a58528824a84160d,2020-02-04_21-40-45,1580870445,11.052339553833008,328.58719778060913,8191,gammaumd8,10.70.51.95,328.58719778060913,192000,30,8,1eaf7424,0,960000,192000,5008.176,90.475,5712.721,8.593,45.64000000000001,52.599999999999994,0.0,0.010353283080555806,0.05333333333333333,0.08149559851166167,9.313225746154785e-10,4.999999873689376e-05,2.8125052,0.0006432317,2.8431673,0.25293732,0.0018091506,3.130547,0.009999999776482582
