episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var
333.56999999999795,62.59999999999984,189.0615999999996,501.0,64,11520,False,267520,512,21,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-14-54,1580850894,10.0618155002594,223.55843591690063,61388,Prophet,10.72.12.27,223.55843591690063,267520,21,8,d961c0f2,0,267520,267520,1084.05,11.843,4.7,108080.38,1180.758,1280.0,51.80833333333333,22.216666666666665,0.014166666666666668,0.3368833060258511,0.000691040011588484,-2456.9734,14886.159,25.390493,9172.125,40.0,0.14483577
333.56999999999795,62.59999999999984,189.0615999999996,501.0,0,14080,False,281600,512,22,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-15-05,1580850905,10.908490180969238,234.46692609786987,61388,Prophet,10.72.12.27,234.46692609786987,281600,22,8,d961c0f2,0,281600,281600,972.982,7.044,9.125,181718.486,1315.543,1280.0,50.74615384615385,22.199999999999996,0.009999999999999998,0.3368833060258511,0.0006906368071213365,-3418.1309,15166.217,25.44456,6971.498,40.000004,0.15715152
333.56999999999795,48.769999999999825,189.0820999999995,501.0,64,12800,False,294400,576,23,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-15-15,1580850915,10.214681386947632,244.6816074848175,61388,Prophet,10.72.12.27,244.6816074848175,294400,23,8,d961c0f2,0,294400,294400,1003.741,11.564,4.587,110688.871,1275.23,1280.0,50.31666666666666,22.3,0.009166666666666665,0.3368833060258511,0.000690144021064043,5781.5605,15412.283,25.452442,20858.834,40.000004,0.13637543
333.56999999999795,48.769999999999825,189.0820999999996,501.0,0,12800,False,307200,576,24,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-15-25,1580850925,10.261461973190308,254.9430694580078,61388,Prophet,10.72.12.27,254.9430694580078,307200,24,8,d961c0f2,0,307200,307200,1013.774,6.607,4.502,193730.888,1262.609,1280.0,51.70833333333334,22.3,0.009999999999999998,0.3368833060258511,0.0006896959966979921,-592.548,15328.29,25.546286,10862.691,40.0,0.18100917
458.36999999999597,89.86000000000026,195.37549999999948,501.0,64,14080,False,321280,640,25,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-15-36,1580850936,10.599547863006592,265.5426173210144,61388,Prophet,10.72.12.27,265.5426173210144,321280,25,8,d961c0f2,0,321280,321280,952.19,6.867,4.243,186403.803,1344.269,1280.0,52.06153846153847,22.315384615384616,0.009999999999999998,0.3368833060258511,0.0006892479723319411,-30648.95,13731.061,25.575994,47520.727,40.0,0.19135875
458.36999999999597,89.86000000000026,195.37549999999948,501.0,0,12800,False,334080,640,26,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-15-47,1580850947,10.674638986587524,276.21725630760193,61388,Prophet,10.72.12.27,276.21725630760193,334080,26,8,d961c0f2,0,334080,334080,1054.414,7.237,4.353,176870.488,1213.945,1280.0,50.07692307692308,22.36923076923077,0.008461538461538461,0.3368833060258511,0.0006887551862746477,1428.4188,14749.386,25.567259,10246.094,40.0,0.16174358
458.36999999999597,89.86000000000026,195.37549999999948,501.0,0,14080,False,348160,640,27,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-15-57,1580850957,10.583085536956787,286.8003418445587,61388,Prophet,10.72.12.27,286.8003418445587,348160,27,8,d961c0f2,0,348160,348160,948.368,6.892,4.308,185727.352,1349.687,1280.0,50.38333333333333,22.3,0.009999999999999998,0.3368833060258511,0.0006883072201162577,-517.178,15018.641,25.632372,10914.604,40.0,0.22293603
361.3499999999976,89.86000000000026,195.0410999999995,501.0,64,12800,False,360960,704,28,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-16-08,1580850968,10.597775936126709,297.3981177806854,61388,Prophet,10.72.12.27,297.3981177806854,360960,28,8,d961c0f2,0,360960,360960,1041.533,11.819,4.686,108301.678,1228.958,1280.0,50.12307692307692,22.300000000000004,0.008461538461538461,0.3368833060258511,0.0006878143758513033,2703.1243,14745.074,25.677666,14910.215,39.999996,0.1395827
361.3499999999976,89.86000000000026,195.04109999999955,501.0,0,14080,False,375040,704,29,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-16-19,1580850979,10.795167446136475,308.1932852268219,61388,Prophet,10.72.12.27,308.1932852268219,375040,29,8,d961c0f2,0,375040,375040,965.878,7.078,4.187,180848.648,1325.219,1280.0,50.78461538461538,22.300000000000004,0.009999999999999998,0.3370093405593133,0.0006873664096929133,-407.40158,14703.029,25.755417,10316.549,39.999996,0.20663232
349.36999999999637,46.0599999999998,200.81949999999938,501.0,64,14080,False,389120,768,30,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-16-30,1580850990,10.89585542678833,319.08914065361023,61388,Prophet,10.72.12.27,319.08914065361023,389120,30,8,d961c0f2,0,389120,389120,980.023,7.266,4.291,176158.401,1306.091,1280.0,51.607692307692304,22.4,0.013076923076923078,0.3368833060258511,0.0006868736236356199,2286.8188,14001.738,25.734962,17180.145,40.0,0.25246197
349.36999999999637,46.0599999999998,200.81949999999932,501.0,0,12800,False,401920,768,31,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-16-40,1580851000,10.442715406417847,329.5318560600281,61388,Prophet,10.72.12.27,329.5318560600281,401920,31,8,d961c0f2,0,401920,401920,1031.403,7.147,4.509,179099.653,1241.028,1280.0,53.46666666666667,22.40833333333333,0.024166666666666666,0.342428242004976,0.0006863807793706656,-1638.9991,15071.893,25.749784,6285.6816,39.999992,0.19989485
349.36999999999637,46.0599999999998,200.81949999999932,501.0,0,14080,False,416000,768,32,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-16-51,1580851011,10.784394025802612,340.3162500858307,61388,Prophet,10.72.12.27,340.3162500858307,416000,32,8,d961c0f2,0,416000,416000,965.048,6.985,4.325,183262.416,1326.359,1280.0,51.69230769230769,22.4,0.014615384615384617,0.34425632623338787,0.0006859328132122755,269.71445,15667.969,25.828598,9750.876,40.000004,0.23802012
309.729999999999,46.0599999999998,195.7870999999994,501.0,64,12800,False,428800,832,33,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-17-02,1580851022,10.802812814712524,351.1190629005432,61388,Prophet,10.72.12.27,351.1190629005432,428800,33,8,d961c0f2,0,428800,428800,1067.397,6.813,4.413,187875.417,1199.179,1280.0,52.076923076923066,22.5,0.014615384615384617,0.34425632623338787,0.0006854400271549821,-1399.9333,15534.788,25.923103,10125.306,39.999996,0.18502551
309.729999999999,46.0599999999998,195.78709999999938,501.0,0,14080,False,442880,832,34,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-17-13,1580851033,10.633813381195068,361.7528762817383,61388,Prophet,10.72.12.27,361.7528762817383,442880,34,8,d961c0f2,0,442880,442880,949.607,7.094,4.728,180428.667,1347.926,1280.0,51.76666666666666,22.5,0.013333333333333334,0.3442563262333879,0.0006849920027889311,159.33081,15393.405,25.950106,10167.352,40.0,0.2086134
