episode,reward
33984,-104.18181494765435
34080,-102.5854749243006
34176,-102.16684528985436
34272,-98.94859020925394
34368,-101.90743500165166
34464,-106.7167917552766
34560,-103.8768069245245
34656,-101.76078219107319
34752,-100.97829349125564
34848,-100.35099460308507
34944,-100.94806979743404
35040,-101.92452572696972
35136,-100.28038173799715
35232,-100.05279066583904
35328,-103.39569646272872
35424,-104.18008032459315
35520,-104.23625635457748
35616,-104.14525825573686
35712,-101.10820514523013
35808,-99.98740798910411
35904,-104.34237167057518
36000,-103.48906664754996
36096,-102.59315746465057
36192,-102.25299273861799
36288,-101.25057382812793
36384,-99.48229036476793
36480,-104.96932458465398
36576,-103.61234891608598
36672,-101.49077425779963
36768,-97.61189880991054
36864,-101.39666341088135
36960,-102.75287231407863
37056,-102.96325699739565
37152,-106.27318554194039
37248,-101.87348721624099
37344,-102.30797033435746
37440,-105.41888662874402
37536,-103.35850625068292
37632,-101.55906694528684
37728,-105.84157670440858
37824,-100.627507764652
37920,-102.53096540294813
38016,-103.17023487630064
38112,-102.39258623366914
38208,-108.14870843993882
38304,-103.18407437750281
38400,-100.42211138608286
38496,-104.23716483964608
38592,-101.91542852658816
38688,-101.00779354068936
38784,-102.95896025037467
38880,-110.55323309002921
38976,-107.68542192712135
39072,-101.29528949691559
39168,-103.02480895459252
39264,-103.90669685854641
39360,-106.96403076991095
39456,-101.02663729667987
39552,-104.63149102091612
39648,-102.07146085679518
39744,-105.22510024615715
39840,-104.30004869578744
39936,-101.15463841072278
40032,-101.21855819552495
40128,-101.80651148617707
40224,-99.32597045295077
40320,-103.84616962166902
40416,-100.56817075753276
40512,-102.77566103514255
40608,-99.28825481342581
40704,-99.79791306439424
40800,-102.88101890054989
40896,-101.25912086251631
40992,-99.82052282853692
41088,-104.11612019692511
41184,-104.30606186762223
41280,-101.7840157557682
41376,-102.46158255543807
41472,-102.47947008045685
41568,-103.33447915961251
41664,-103.30990961468089
41760,-101.84684155783432
41856,-103.186216460337
41952,-101.60398272331193
42048,-99.20303337104497
42144,-103.42244290181769
42240,-103.03768477187322
42336,-105.48760265896205
42432,-100.22751034970742
42528,-102.1015885465919
42624,-101.67685448608997
42720,-105.01606761854904
42816,-101.72789884592706
42912,-105.46406289491512
43008,-101.12501559615455
43104,-100.57200669493872
43200,-100.43596311436963
43296,-105.87790277901644
43392,-102.15077426107501
43488,-104.0208244366754
43584,-101.3610971926553
43680,-101.20852065818315
43776,-101.44664353736034
43872,-99.13755647936568
