episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff
112.49000000000053,21.890000000000224,42.8304000000003,501.0,64,6400,False,134400,256,21,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-51-18,1580770278,22.910792589187622,381.46120166778564,23785,Prophet,10.72.12.27,381.46120166778564,134400,21,8,c4266ace,0,1071000,134400,11486.738,79.503,10564.555,26.071,96.0142857142857,50.228571428571435,0.08357142857142859,0.5501547423994174,4.76837158203125e-07,4.999999873689376e-05,69.04011,-0.00033062376,69.0564,0.17951474,0.0013564384,1.5962573,0.009999999776482582
112.49000000000053,21.890000000000224,42.8304000000003,501.0,0,6400,False,140800,256,22,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-51-40,1580770300,22.48885202407837,403.950053691864,23785,Prophet,10.72.12.27,403.950053691864,140800,22,8,c4266ace,0,1122000,140800,11769.619,82.562,11019.617,29.765,96.46666666666667,50.2888888888889,0.09296296296296296,0.5502154256933066,2.384185791015625e-07,4.999999873689376e-05,12.474698,-0.0032592362,12.49391,0.5268107,0.0020887917,1.5953393,0.009999999776482582
112.49000000000053,21.890000000000224,42.8304000000003,501.0,0,6400,False,147200,256,23,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-52-03,1580770323,22.62083911895752,426.57089281082153,23785,Prophet,10.72.12.27,426.57089281082153,147200,23,8,c4266ace,0,1173000,147200,11662.618,81.28,11108.42,32.221,96.225,50.35,0.09250000000000001,0.5504668279108477,1.1920928955078125e-07,4.999999873689376e-05,11.185364,-0.0023685785,11.203679,0.51960576,0.002065208,1.5947769,0.009999999776482582
112.49000000000053,21.890000000000224,42.8304000000003,501.0,0,6400,False,153600,256,24,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-52-27,1580770347,23.505022287368774,450.0759150981903,23785,Prophet,10.72.12.27,450.0759150981903,153600,24,8,c4266ace,0,1224000,153600,11602.919,83.257,11163.659,26.276,96.08214285714284,50.40714285714286,0.053928571428571444,0.5506098671035865,5.960464477539063e-08,4.999999873689376e-05,11.240749,-0.003150681,11.259828,0.5459868,0.0018026796,1.5929816,0.009999999776482582
112.49000000000053,21.890000000000224,42.8304000000003,501.0,0,6400,False,160000,256,25,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-52-49,1580770369,22.500577211380005,472.5764923095703,23785,Prophet,10.72.12.27,472.5764923095703,160000,25,8,c4266ace,0,1275000,160000,11610.948,82.408,11269.837,22.381,96.46071428571427,50.45714285714284,0.08142857142857142,0.551305557722816,2.9802322387695312e-08,4.999999873689376e-05,11.21334,-0.0016025582,11.230862,0.5346092,0.001233549,1.591857,0.009999999776482582
89.13000000000076,21.890000000000224,40.44790000000028,501.0,64,6400,False,166400,320,26,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-53-13,1580770393,23.67165756225586,496.2481498718262,23785,Prophet,10.72.12.27,496.2481498718262,166400,26,8,c4266ace,0,1326000,166400,11594.45,86.537,11341.968,23.036,96.75172413793102,50.57586206896553,0.07241379310344828,0.5509739668669216,1.4901161193847656e-08,4.999999873689376e-05,89.21715,-0.00046539612,89.23346,0.133082,0.0015040425,1.5836154,0.009999999776482582
89.13000000000076,21.890000000000224,40.44790000000028,501.0,0,6400,False,172800,320,27,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-53-37,1580770417,23.994962692260742,520.2431125640869,23785,Prophet,10.72.12.27,520.2431125640869,172800,27,8,c4266ace,0,1377000,172800,11592.675,91.524,11394.383,20.668,96.65862068965517,50.61034482758622,0.08655172413793102,0.5509739668669216,7.450580596923828e-09,4.999999873689376e-05,11.9527025,-0.0014058957,11.969989,0.559214,0.001707555,1.588001,0.009999999776482582
89.13000000000076,21.890000000000224,40.44790000000028,501.0,0,6400,False,179200,320,28,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-53-59,1580770439,22.412679195404053,542.655791759491,23785,Prophet,10.72.12.27,542.655791759491,179200,28,8,c4266ace,0,1428000,179200,11566.585,90.868,11336.825,19.904,95.86666666666667,50.61111111111112,0.06407407407407407,0.5513380666302568,3.725290298461914e-09,4.999999873689376e-05,12.133737,-0.0014280047,12.151059,0.5513091,0.0015754357,1.5894053,0.009999999776482582
89.13000000000076,21.890000000000224,40.44790000000028,501.0,0,6400,False,185600,320,29,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-54-23,1580770463,23.494112968444824,566.1499047279358,23785,Prophet,10.72.12.27,566.1499047279358,185600,29,8,c4266ace,0,1479000,185600,11664.901,92.336,11355.689,17.067,96.45000000000002,53.825,0.0975,0.5721892798626824,1.862645149230957e-09,4.999999873689376e-05,12.096753,-0.0020952567,12.114689,0.53845096,0.0012252153,1.5841035,0.009999999776482582
89.13000000000076,21.890000000000224,40.44790000000028,501.0,0,6400,False,192000,320,30,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-54-45,1580770485,22.438681840896606,588.5885865688324,23785,Prophet,10.72.12.27,588.5885865688324,192000,30,8,c4266ace,0,1530000,192000,11588.688,93.093,11243.069,20.402,96.71111111111114,51.05925925925926,0.051851851851851864,0.5549150096756141,9.313225746154785e-10,4.999999873689376e-05,11.966765,-0.0024836147,11.985081,0.5231714,0.0016519503,1.5831989,0.009999999776482582
103.8000000000018,23.270000000000344,43.45780000000039,501.0,64,6400,False,198400,384,31,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-55-09,1580770509,23.105740308761597,611.694326877594,23785,Prophet,10.72.12.27,611.694326877594,198400,31,8,c4266ace,0,1581000,198400,11574.872,95.196,11275.342,22.312,96.03571428571426,50.70357142857142,0.05892857142857144,0.5511560167485892,4.656612873077393e-10,4.999999873689376e-05,103.967674,-0.00010508195,103.98361,0.14829934,0.0013471227,1.5801973,0.009999999776482582
103.8000000000018,23.270000000000344,43.45780000000039,501.0,0,6400,False,204800,384,32,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-55-30,1580770530,21.516422033309937,633.2107489109039,23785,Prophet,10.72.12.27,633.2107489109039,204800,32,8,c4266ace,0,1632000,204800,11470.238,93.625,11287.957,21.793,95.44444444444443,50.7925925925926,0.07259259259259261,0.5522618012150143,2.3283064365386963e-10,4.999999873689376e-05,13.147169,-0.0011332842,13.164142,0.60446954,0.001395277,1.5838461,0.009999999776482582
103.8000000000018,23.270000000000344,43.45780000000039,501.0,0,6400,False,211200,384,33,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-55-53,1580770553,22.86206817626953,656.0728170871735,23785,Prophet,10.72.12.27,656.0728170871735,211200,33,8,c4266ace,0,1683000,211200,11430.217,93.981,11356.44,19.245,96.57500000000002,50.8107142857143,0.058928571428571434,0.5515786325453175,1.1641532182693481e-10,4.999999873689376e-05,12.456582,-0.002111634,12.474548,0.62896407,0.0015811819,1.5855912,0.009999999776482582
103.8000000000018,23.270000000000344,43.45780000000039,501.0,0,6400,False,217600,384,34,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-56-16,1580770576,23.33882737159729,679.4116444587708,23785,Prophet,10.72.12.27,679.4116444587708,217600,34,8,c4266ace,0,1734000,217600,11485.876,96.552,11283.65,19.265,96.02857142857144,50.91785714285714,0.06892857142857144,0.5552391355231333,5.820766091346741e-11,4.999999873689376e-05,13.612886,-0.0018664496,13.630581,0.6191376,0.001407236,1.5828427,0.009999999776482582
103.8000000000018,23.270000000000344,43.45780000000039,501.0,0,6400,False,224000,384,35,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-56-38,1580770598,21.270186185836792,700.6818306446075,23785,Prophet,10.72.12.27,700.6818306446075,224000,35,8,c4266ace,0,1785000,224000,11365.859,96.923,11279.373,20.659,95.9346153846154,50.87307692307692,0.06307692307692309,0.5548880393227744,2.9103830456733704e-11,4.999999873689376e-05,12.612451,-0.0013580737,12.62959,0.6084695,0.001717287,1.5780151,0.009999999776482582
126.25000000000239,25.770000000000536,54.146700000000486,501.0,64,6400,False,230400,448,36,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-57-00,1580770620,22.343793392181396,723.0256240367889,23785,Prophet,10.72.12.27,723.0256240367889,230400,36,8,c4266ace,0,1836000,230400,11262.538,94.812,11259.026,21.965,96.88888888888889,50.911111111111104,0.04925925925925927,0.5548880393227744,1.4551915228366852e-11,4.999999873689376e-05,115.56305,0.0002985997,115.57849,0.15815099,0.0015339341,1.5729104,0.009999999776482582
126.25000000000239,25.770000000000536,54.14670000000049,501.0,0,6400,False,236800,448,37,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-57-23,1580770643,23.127089023590088,746.152713060379,23785,Prophet,10.72.12.27,746.152713060379,236800,37,8,c4266ace,0,1887000,236800,11192.653,92.304,11242.511,22.404,96.41071428571426,50.9642857142857,0.07999999999999999,0.5555707263790277,7.275957614183426e-12,4.999999873689376e-05,12.365054,-0.002081548,12.382822,0.53428084,0.0017936361,1.5688741,0.009999999776482582
126.25000000000239,25.770000000000536,54.14670000000049,501.0,0,6400,False,243200,448,38,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-57-45,1580770665,22.08531427383423,768.2380273342133,23785,Prophet,10.72.12.27,768.2380273342133,243200,38,8,c4266ace,0,1938000,243200,11147.619,96.432,11238.967,27.738,95.85925925925925,51.114814814814814,0.05518518518518519,0.553795740032769,3.637978807091713e-12,4.999999873689376e-05,10.838614,-0.00060972665,10.854939,0.5279871,0.0010342083,1.5714334,0.009999999776482582
126.25000000000239,25.770000000000536,54.14670000000049,501.0,0,6400,False,249600,448,39,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-58-09,1580770689,23.360890865325928,791.5989181995392,23785,Prophet,10.72.12.27,791.5989181995392,249600,39,8,c4266ace,0,1989000,249600,11049.598,96.687,11325.685,29.297,97.37857142857145,53.346428571428575,0.06464285714285715,0.5650665782424386,1.8189894035458565e-12,4.999999873689376e-05,10.979248,-0.002490259,10.997405,0.4927609,0.001844306,1.5666842,0.009999999776482582
126.25000000000239,25.770000000000536,54.14670000000049,501.0,0,6400,False,256000,448,40,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-58-32,1580770712,22.713861227035522,814.3127794265747,23785,Prophet,10.72.12.27,814.3127794265747,256000,40,8,c4266ace,0,2040000,256000,11101.925,96.558,11300.357,27.571,95.41071428571426,52.71785714285714,0.07035714285714287,0.5677160541988505,9.094947017729282e-13,4.999999873689376e-05,10.983437,-0.0027897302,11.001816,0.5147179,0.0018249378,1.558894,0.009999999776482582
169.77999999999935,26.310000000000493,60.39020000000054,501.0,64,6400,False,262400,512,41,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-58-54,1580770734,22.43024730682373,836.7430267333984,23785,Prophet,10.72.12.27,836.7430267333984,262400,41,8,c4266ace,0,2091000,262400,11106.978,93.937,11233.617,24.855,95.76666666666667,51.19259259259258,0.054444444444444455,0.5545846228533284,4.547473508864641e-13,4.999999873689376e-05,128.07758,0.0012189656,128.092,0.13940378,0.001776584,1.5611618,0.009999999776482582
169.77999999999935,26.310000000000493,60.39020000000053,501.0,0,6400,False,268800,512,42,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-59-17,1580770757,23.0667564868927,859.8097832202911,23785,Prophet,10.72.12.27,859.8097832202911,268800,42,8,c4266ace,0,2142000,268800,11184.035,94.346,11312.566,23.676,96.25357142857145,51.27142857142859,0.060357142857142866,0.5545824555928325,2.2737367544323206e-13,4.999999873689376e-05,12.269526,-0.00095599465,12.286052,0.53058267,0.0014871819,1.5571055,0.009999999776482582
169.77999999999935,26.310000000000493,60.39020000000053,501.0,0,6400,False,275200,512,43,575caff6eafe4674936b1bd1db2ee601,2020-02-03_17-59-41,1580770781,23.926653385162354,883.7364366054535,23785,Prophet,10.72.12.27,883.7364366054535,275200,43,8,c4266ace,0,2193000,275200,11250.139,93.854,11350.425,23.589,96.71034482758618,51.56896551724138,0.05862068965517243,0.5545239395594392,1.1368683772161603e-13,4.999999873689376e-05,11.421561,-0.0016949513,11.438777,0.51988655,0.0013091383,1.5519028,0.009999999776482582
169.77999999999935,26.310000000000493,60.39020000000053,501.0,0,6400,False,281600,512,44,575caff6eafe4674936b1bd1db2ee601,2020-02-03_18-00-05,1580770805,24.06456685066223,907.8010034561157,23785,Prophet,10.72.12.27,907.8010034561157,281600,44,8,c4266ace,0,2244000,281600,11315.524,91.442,11359.615,23.543,96.28965517241382,54.606896551724134,0.06517241379310347,0.5796311292742486,5.684341886080802e-14,4.999999873689376e-05,10.488057,-0.0007165398,10.504276,0.5676271,0.0013852406,1.5500708,0.009999999776482582
