episode,reward
47520,-2.806328974044037
47616,-2.5068019665513663
47712,-1.8321513156895501
47808,-1.5232913195645603
47904,-2.1485600634978717
48000,-2.3386075067764702
48096,-2.1214107805621687
48192,-2.884444120890005
48288,-1.9390891761503053
48384,-2.700210285931604
48480,-0.7036655772663627
48576,-2.3707085393722904
48672,-0.06452592969818438
48768,-2.031729914556043
48864,-1.0162007236699107
48960,-2.9596127739707185
49056,-2.057521984283233
49152,-1.5245086532936432
49248,-1.721207879537257
49344,-1.545622319144188
49440,-2.1525983519661755
49536,-2.317644185584798
49632,-2.046127866698005
49728,-0.7746321539072998
49824,-0.25643078706389477
49920,-1.1119754782512772
50016,-2.0197269196531713
50112,-2.3086833965434232
50208,-2.1769339539310986
50304,-1.0803307519059098
50400,-2.0984009301661057
50496,-1.9705931269336157
50592,-2.226316021961311
50688,-0.9850913289083412
50784,-1.632121848090092
50880,-1.7990104933316582
50976,-1.6049881560363297
51072,-1.3648685456482732
51168,-2.3671254161248383
51264,-1.9665465947357732
51360,-1.8785752407582081
51456,-1.8913779686300294
51552,-2.1160021799276416
51648,-1.8833380742975572
51744,-1.5585104030904404
51840,-1.6445206061137236
51936,-1.741705654724328
52032,-1.8244722813011145
52128,-2.260454873563475
52224,-1.9885387408595339
52320,-1.4905330083314694
52416,-2.7597651367511604
52512,-2.4841703248208336
52608,-2.2761970917064316
52704,-2.114039170554412
52800,-2.732293790996942
52896,-1.7473809840265577
52992,-1.394816631299744
53088,-1.4801304072254582
53184,-0.869647668018178
53280,-2.4918099964756255
53376,-1.6675435443461448
53472,-1.9492251154852887
53568,-1.7556204425283481
53664,-1.222623964324981
53760,-1.664064284068361
53856,-2.545532047124209
53952,-0.6679806738688864
54048,-1.5542610175529474
54144,-0.5212097253632102
54240,-2.0351345508393965
54336,-1.567548262476723
54432,-1.440412145488192
54528,-1.6657962811610492
54624,-1.7676487240526204
54720,-1.9539911293644487
54816,-1.4901196631859706
54912,-1.5927844262025252
55008,-1.765217373121996
55104,-2.3738396837851745
55200,-1.9844129960303125
55296,-2.4055331754288454
55392,-1.984635206930896
55488,-2.232700273679129
55584,-1.900639117659473
55680,-1.4053333267702077
55776,-2.112772816067879
55872,-1.2011112098247243
55968,-1.8330872229546677
56064,-2.222172056340906
56160,-2.037624738958523
56256,-2.4798089089417212
56352,-2.4191615930262964
56448,-1.7295358163678083
56544,-1.9268328092195754
56640,-2.8508451998711317
56736,-2.0379782871291816
56832,-1.4577708517282495
56928,-0.7103374198590477
57024,-2.2843348179808816
57120,-1.7330627233634666
57216,-1.183927141730068
57312,-1.433320560389288
57408,-2.2071614324881663
57504,-2.062508369640014
57600,-2.3241651127238176
57696,-2.3371417947869064
57792,-3.2192833283695883
57888,-1.2546685677999458
57984,-1.4488381837474416
58080,-2.4327590085493833
58176,-1.47131042699406
58272,-2.310105797680935
58368,-2.1404776093824
58464,-0.3125826235191872
58560,-1.8034516470278246
58656,-1.4538789003461607
58752,-1.5568773763087849
58848,-2.7996819424881263
58944,-2.5614481914715377
59040,-2.4874291828850708
59136,-1.7952551248777113
59232,-1.2431843865807917
59328,-1.648685611790329
59424,-2.0163617816232287
59520,-2.1286520619654166
59616,-1.7036804881571321
59712,-0.599592487624889
59808,-1.206755153542082
59904,-1.9582427855958047
