episode,return_mean
53448,-25.5124
53492,-27.9705
53532,-28.1828
53588,-31.6424
53636,-33.397
53672,-32.273
53712,-32.9103
53748,-32.1341
53788,-30.9363
53820,-29.7404
53856,-29.3493
53888,-27.7855
53924,-29.1126
53964,-28.6994
54004,-30.1093
54040,-30.9196
54076,-32.749
54108,-30.3622
54144,-31.4376
54176,-30.5904
54212,-31.3209
54244,-30.6472
54276,-32.1975
54308,-30.5517
54340,-29.3454
54372,-28.8166
54404,-29.2731
54436,-29.1296
54464,-29.3097
54496,-30.5662
54528,-31.3437
54560,-29.8565
54588,-28.3249
54616,-27.6789
54652,-29.8138
54680,-26.5371
54708,-26.3514
54740,-28.624
54776,-31.3241
54804,-26.0975
54836,-27.7326
54876,-29.0164
54904,-28.4218
54936,-25.6876
54968,-27.9713
54996,-26.9684
55032,-26.8793
55072,-29.1254
55104,-28.9285
55140,-29.7175
55176,-31.3493
55208,-28.9468
55240,-25.8217
55272,-26.6564
55312,-27.2327
55348,-28.1242
55376,-28.2909
55412,-29.3206
55448,-30.1258
55480,-30.194
55524,-30.5638
55560,-31.1978
55596,-31.9808
55636,-32.2607
55668,-31.231
55700,-29.1958
55736,-31.0322
55768,-29.8057
55808,-30.8352
55840,-28.6142
55872,-28.7278
55904,-27.4501
55936,-27.5568
55968,-27.0808
56000,-29.7722
56036,-30.1889
56072,-31.7383
56100,-29.6716
56140,-30.0182
56172,-28.224
56204,-27.4105
56244,-26.4228
56280,-29.6781
56320,-31.4495
56360,-33.6151
56396,-34.6958
56432,-34.7606
56468,-35.4211
56508,-34.2573
56548,-34.2969
56588,-35.9411
56624,-36.5595
56656,-35.8346
56696,-35.3477
56732,-33.8392
56772,-33.718
56800,-33.6117
56840,-34.001
56872,-32.2249
56904,-32.3283
56944,-31.9943
56980,-33.2042
57016,-31.5708
57052,-31.4574
57096,-32.5111
57140,-34.2436
57184,-34.2835
57216,-35.3197
57264,-36.4868
57300,-35.6453
57344,-33.2364
57392,-32.7676
57428,-32.6037
57468,-31.711
57524,-33.1793
57568,-32.9972
57604,-31.031
57652,-31.4322
57708,-32.564
57764,-32.4864
57812,-32.8563
57868,-34.9086
57916,-34.9326
57956,-34.7369
58000,-33.8078
58044,-34.4209
58092,-33.8203
58132,-34.0089
58168,-32.4894
58200,-30.8157
58244,-30.2744
58280,-29.4122
58324,-28.4189
58364,-30.2775
58416,-33.2025
58464,-33.0744
58504,-33.5053
58540,-33.7421
58584,-33.6839
58628,-33.834
58676,-33.5693
58736,-33.9533
58788,-35.6116
58832,-35.4076
58880,-34.4843
58924,-35.2181
58976,-36.2716
59024,-36.6473
59072,-36.9106
59120,-38.1979
59172,-37.7515
59224,-37.575
59284,-36.3241
59332,-36.5691
59384,-35.7493
59440,-36.2879
59504,-36.5926
59548,-38.3543
59592,-37.9041
59636,-37.8372
59676,-36.6329
59732,-36.1998
59780,-34.8499
59828,-35.7712
59876,-36.4986
59928,-37.3726
59980,-37.9563
60036,-39.1158
60072,-39.0207
60120,-39.4073
60172,-40.1857
60208,-38.583
60248,-36.7324
60292,-35.7406
60332,-33.5158
60372,-33.0449
60408,-32.4286
60440,-30.5967
60480,-31.0253
60520,-31.8073
60556,-31.0947
60604,-32.9096
60640,-34.4248
60680,-33.7247
60720,-34.2065
60760,-33.3867
60796,-32.6497
60832,-33.0147
60868,-32.6269
60920,-31.9638
60972,-33.345
61008,-32.9398
61052,-32.9193
61100,-34.7821
61148,-35.0968
61200,-36.173
61240,-35.4958
61280,-34.0682
61320,-32.416
61372,-33.0839
61416,-30.2971
61456,-30.0273
61504,-32.4257
61540,-31.4646
61584,-30.5382
61620,-31.8494
61656,-32.4264
61692,-31.2701
61736,-33.1742
61772,-32.6456
61808,-33.1127
61840,-32.3524
61872,-32.158
61900,-28.2364
61940,-29.444
61976,-29.6545
62016,-30.5364
62048,-30.1473
62084,-33.5059
62116,-30.3412
62144,-26.1235
62180,-26.8818
62216,-26.7556
62252,-27.6465
62292,-31.0448
62340,-35.0589
62384,-34.4214
62424,-35.5943
62472,-36.3263
62508,-37.1254
62548,-35.6937
62588,-35.5624
62628,-34.1121
62660,-31.3964
62704,-30.0313
62736,-30.5645
62768,-29.8114
62804,-31.6766
62844,-34.5346
62872,-33.5582
62916,-33.0227
62952,-33.5663
62992,-32.245
63028,-31.3075
63068,-32.6705
63108,-32.9775
63144,-33.1698
63188,-34.4617
63232,-34.7346
63284,-35.3576
63336,-36.862
63384,-36.8726
63428,-36.2389
63488,-36.4404
63540,-35.2975
63596,-35.4661
63636,-35.7641
63684,-36.7108
63732,-36.6493
63764,-38.5529
63804,-37.3027
63844,-36.3991
63884,-35.5116
63928,-35.2186
63972,-34.6964
64016,-36.3648
64052,-37.1357
64088,-36.8554
64124,-35.8078
64160,-34.4052
64200,-32.6757
64240,-32.9678
64276,-34.4841
64316,-34.9112
64360,-35.9428
64396,-35.9907
64428,-36.4998
64464,-35.7754
64500,-35.7124
64544,-35.4278
64580,-35.4009
64620,-35.2889
64664,-36.6465
64704,-35.9079
64744,-35.7476
64776,-35.6428
64804,-33.0087
64840,-31.6535
64876,-32.195
64908,-30.2252
64944,-30.7277
64984,-33.161
65024,-33.3581
65060,-33.811
65092,-36.293
65124,-34.3755
65156,-34.9001
65196,-35.441
65232,-34.588
65264,-33.4435
65312,-35.8346
65348,-34.7668
65380,-32.4457
65408,-31.853
65440,-30.8906
65468,-28.4674
65508,-29.4134
65544,-29.5272
65584,-29.9544
65616,-30.844
65652,-33.0521
65692,-32.2447
65736,-33.5449
65776,-34.6953
65804,-32.5458
65836,-31.3813
65876,-31.5032
65916,-32.3957
65956,-33.6629
65996,-36.3541
66036,-37.2016
66076,-38.4898
66108,-37.4734
66148,-35.7138
66184,-34.3675
66224,-36.7506
66260,-36.945
66292,-35.5793
66328,-37.4791
66364,-39.2291
66400,-37.8671
66440,-38.647
66480,-40.6453
66520,-39.964
66560,-39.5793
66608,-39.327
66652,-37.3987
66704,-37.0805
